chunk_id,doc_id,title,topic,url,source_type,source_name,section,chunk_order,last_edited,retrieved,chunk_text,db_chunk_id
gov_001_001,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students,1,11/25/2024,4/19/2026,"Optional practical training (OPT) is temporary employment that is directly related to an F-1 student’s major area of study. Eligible students can apply to receive up to 12 months of OPT employment authorization before completing their academic studies (pre-completion) and/or after completing their academic studies (post-completion). However, all periods of pre-completion OPT will be deducted from the available period of post-completion OPT.",1
gov_001_002,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students > Types of OPT,2,11/25/2024,4/19/2026,"All OPT must be directly related to your major area of study. If you are an F-1 student, you may be eligible to participate in OPT in two different ways:

**Pre-completion OPT**: You may apply to participate in pre-completion OPT after you have been lawfully enrolled on a full-time basis for one full academic year at a college, university, conservatory, or seminary that has been certified by the U.S. Immigration and Customs Enforcement (ICE) Student and Exchange Visitor Program (SEVP) to enroll F-1 students. You do not need to have had F-1 status for the one full academic year; you can satisfy the “one full academic year” requirement even if you had another nonimmigrant status during that time.

If you are authorized to participate in pre-completion OPT, you may work (20 hours or less per week) while school is in session. You may work full time when school is not in session.

**Post-completion OPT**: You may apply to participate in post-completion OPT after completing your studies. If you are authorized for post-completion OPT, you must work part time (at least 20 hours per week) or full time.

**Impact of Pre-completion OPT Employment Authorization on Requests for Post-completion OPT at the Same Education Level**

If you have already received 1 year of part-time (20 hours per week) pre-completion OPT, the total time of full-time OPT still available would be reduced by 6 months, 50% of the previously authorized year at the same education level. In this scenario, you would only be entitled to a remaining period of 6 months full-time post-completion OPT employment authorization.

If you have already received 1 year of full-time (40 hours per week) pre-completion OPT, the total time of full-time optional practical training still available would be reduced by 1 year, 100% of the previously authorized year at the same education level. In this scenario, you would not be entitled to any period of post-completion OPT employment authorization.",2
gov_001_003,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students > STEM OPT Extension,3,11/25/2024,4/19/2026,"If you have earned a degree in certain Science, Technology, Engineering and Mathematics (STEM) fields, you may apply for a 24-month extension of your post-completion OPT employment authorization if you:

- Are an F-1 student who received a STEM degree included on the
[STEM Designated Degree Program List (PDF)](https://www.ice.gov/sites/default/files/documents/Document/2016/stem-list.pdf); - Are employed by an employer who is enrolled in and is using E-Verify; and
- Received an initial grant of post-completion OPT employment authorization based on your STEM degree.

If you are interested in applying for a STEM OPT extension, please see our [Optional Practical Training Extension for STEM Students (STEM OPT)](/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt) page for more information.",3
gov_001_004,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students > Applying for OPT,4,11/25/2024,4/19/2026,"Generally, you must:

- Request that your designated school official (DSO) at your academic institution recommend the OPT. Your DSO will make the recommendation by endorsing your Form I‑20, Certification of Eligibility for Nonimmigrant Student Status, and making the appropriate notation in the
[Student and Exchange Visitor Information System (SEVIS)](https://www.ice.gov/sevis/overview). - Properly file
[Form I-765, Application for Employment Authorization](https://www.uscis.gov/i-765)with USCIS, accompanied by the required fee and the supporting documentation as described in the form instructions.",4
gov_001_005,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students > When to apply,5,11/25/2024,4/19/2026,"If you are applying based on a… 
STEM degree | Pre-completion OPT |
|
- Initial post-completion OPT: STEM OPT extension
- Initial post-completion OPT: 
Non-STEM degree | Pre-completion OPT |
|
| Post-completion OPT |
|

You may not begin your pre- or post-completion OPT until after we approve your Form I-765 and you receive your Employment Authorization Document (EAD).

If you file your STEM OPT extension application on time and your OPT period expires while your extension application is pending, we will automatically extend your employment authorization for 180 days. This automatic 180-day extension ceases once USCIS adjudicates your STEM OPT extension application.",5
gov_001_006,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students > Transferring to a Different School or Beginning Study at Another Educational Level,6,11/25/2024,4/19/2026,"If you transfer to another school or begin studies at another educational level (for example, you completed a bachelor’s degree and are starting a master’s program), your authorization to engage in OPT employment will automatically terminate. SEVP will inform USCIS of the termination date, and USCIS will terminate your EAD accordingly.

Although your authorization to engage in optional practical training will end, as long as you comply with all requirements for maintaining your student status, your F-1 status will not be affected by USCIS terminating your EAD. Maintaining your student status includes not working on a terminated EAD, as the termination means that you are no longer authorized to work in the United States using that OPT EAD. Working in the United States without authorization has serious consequences, including removal from the country and reentry bars. Also, remaining in the United States in violation of your lawful nonimmigrant status could lead to an accrual of unlawful presence. Please see [USCIS Changing Policy on Accrued Unlawful Presence by Nonimmigrant Students and Exchange Visitors](/laws-and-policy/other-resources/unlawful-presence-and-inadmissibility) for more information regarding termination of your employment authorization under OPT and any impacts on your student status, including the possible accrual of unlawful presence.

If you feel that your EAD has been wrongfully terminated, would like to request reconsideration of the EAD termination, or if you have other questions, see your DSO.",6
gov_001_007,gov_001,Optional Practical Training (OPT) for F-1 Students | USCIS,opt,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,gov,uscis,Optional Practical Training (OPT) for F-1 Students > Cap-gap Extension for F-1 Students with Approved H-1B Petitions,7,11/25/2024,4/19/2026,"If you are an F-1 student with a timely filed H-1B petition and change of status request, and your F-1 status and employment authorization will expire before the change of status to H-1B occurs (typically Oct. 1), you may be eligible for a cap-gap extension. Go to our [Cap-Gap Extension](/working-in-the-united-states/temporary-workers/h-1b-specialty-occupations/extension-of-post-completion-optional-practical-training-opt-and-f-1-status-for-eligible-students) page for more information.

For more information, please see the [USCIS Policy Manual](/policy-manual/volume-2-part-d).",7
gov_002_001,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization",1,4/13/2026,4/19/2026,"Certain aliens who are in the United States may file Form I-765, Application for Employment Authorization, to request an [Employment Authorization Document](/green-card/green-card-processes-and-procedures/employment-authorization-document) (EAD). Other aliens whose immigration status authorizes them to work in the United States without restrictions may also use Form I-765 to apply for an EAD that shows such authorization.

If you have not already started the EAD application process, you can begin [here](https://www.uscis.gov/file-online/how-to-create-a-uscis-online-account) by creating a USCIS account online and filing [Form-I-765](https://www.uscis.gov/file-online/forms-available-to-file-online). We will mail your work permit to the address you provided in your application if your application is approved. If necessary, you can file a paper application for Form I-765 instead.

After we approve a Form I-765, your EAD card should be produced within 2 weeks. We will mail your EAD card via U.S. Postal Service (USPS) Priority Mail.

Please ensure you have the correct mailing address on file with USCIS. If your mailing address changes after you file your application, you must [update your address with USCIS](https://www.uscis.gov/addresschange) and [USPS](https://www.usps.com/) as soon as possible. If you don’t update your address promptly, your case could be delayed, your document(s) could get lost, and you may need to reapply and pay the fee again.

The timeframe in which you will receive your EAD card may vary, depending on USPS delivery times. Please allow a total of 30 days from approval before inquiring with USCIS. We encourage you to use [Case Status Online](https://egov.uscis.gov/) to find your USPS tracking number for EAD card delivery. If you have not received your EAD card within this time frame, please visit [e-Request - Self Service Tools](https://egov.uscis.gov/e-request/Intro.do) for instructions on how to submit an inquiry.",8
gov_002_002,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",2,4/13/2026,4/19/2026,"Dates are listed in mm/dd/yy format.

If you complete and print this form to mail it, make sure that the form edition date and page numbers are visible at the bottom of all pages and that all pages are from the same form edition. If any of the form’s pages are missing or are from a different form edition, we may reject your form.

If you need help downloading and printing forms, read our [instructions](/forms/downloading-and-printing-immigration-forms).

The filing address depends on your reason for applying and the eligibility category you entered in Question 27. Please check the [filing locations for Form I-765](/i-765-addresses) for a list of addresses.

If you are a replacing a card that has incorrect information, please see the Special Instructions provided below.

If you wish to renew an existing Employment Authorization Document (EAD), you should file Form I-765 within 6 months of the expiration date on your current EAD. We recommend you do not file a request to renew your EAD more than 180 days before the expiration of your EAD. We generally do not backdate or postdate the renewal EAD in relation to your current EAD’s validity period.

Please refer to the Form I-765 instructions for information on other specific categories.

To renew your Employment Authorization Document, file Form I-765 at least 90 days before the expiration.",9
gov_002_003,gov_002,Application for Employment Authorization | USCIS,i765,https://www.uscis.gov/i-765,gov,uscis,"I-765, Application for Employment Authorization > Form Details",3,4/13/2026,4/19/2026,"(a)(20) | You may file Form I-765 at the same time as Form 918, Supplement A, Petition for Qualifying Family Member of U-1 Recipient, or you may file Form I-765 later. | (c)(3)(A) | File Form I-765 up to 90 days before being enrolled for one full academic year, provided that the period of employment will not start before you have completed one full academic year. | (c)(3)(B) | File Form I-765 up to 90 days before, but no later than 60 days after, your program end date. You must file your Form I-765 within 30 days of the date that your DSO enters the recommendation for OPT into your SEVIS record. | (c)(3)(C) | File Form I-765 up to 90 days before the expiration of your current OPT, if you are requesting a 24-month STEM extension. | (c)(6) | File Form I-765 with a copy of the Form I-20 endorsed by the DSO certifying eligibility for employment together with Form I-539, Application to Change/Extend Nonimmigrant Status, if applicable, completed according to the Form I-539 Instructions. We must receive the completed forms before, but not more than 90 days before, your program end date. | (c)(8) | You must wait 150 days before you can apply for an EAD, and an additional 30 days before we can issue you an EAD, for a total of 180 days starting from when you filed your I-589 asylum application. The number of days a completed asylum application is considered pending does not include any delays requested or caused by you while your application is pending with the USCIS asylum office or with an EOIR Immigration Judge. (See 8 CFR 208.7) This period during which your asylum application is pending before we may grant you an EAD is called the “180-day Asylum EAD Clock.” We may reject your Form I-765 if you file it before the 150-day waiting period has elapsed. Further details can be found in the Form I-765 Instructions. If you have received a Recommended Approval notice from the USCIS asylum office recommending a grant of asylum, you do not need to wait 150 days and may apply for an EAD immediately upon receipt of this notice. Provide a copy of your notice as evidence of your recommended approval with your Form I-765. | (c)(9) | File Form I-765 together with Form I-485, Application to Register Permanent Residence or Adjust Status, or if filing separately, submit a copy of your I-485 receipt notice or other evidence to show that your Form I-485 is pending. | (c)(10) | If you are eligible to apply for NACARA 203 relief with USCIS, you may file Form I-765 together with your Form I-881, Application for Suspension of Deportation or Special Rule Cancellation of Removal (Under Section 203 of Public Law 105-100 (NACARA)). | (c)(11) | File Form I-765 with sufficient evidence to show that your parole status is current and has not expired or is about to expire. | (c)(26) | You may file Form I-765",10
